Job ID,Queue,Status,Buffer,Environment,Block,Script
514089,small,RUNNING,er,Assault,8,conda_er_Assault_8.sh
514088,small,RUNNING,er,Asterix,8,conda_er_Asterix_8.sh
514087,small,RUNNING,er,Assault,,conda_er_Assault.sh
514086,small,RUNNING,er,Amidar,,conda_er_Amidar.sh
514380,small,RUNNING,pber,Qbert,4,conda_pber_Qbert_4.sh
514381,small,RUNNING,pber,SpaceInvaders,4,conda_pber_SpaceInvaders_4.sh
514382,small,RUNNING,per,SpaceInvaders,,conda_per_SpaceInvaders.sh
514377,small,RUNNING,pber,BeamRider,4,conda_pber_BeamRider_4.sh
514378,small,RUNNING,pber,Breakout,8,conda_pber_Breakout_8.sh
514379,small,RUNNING,pber,Breakout,4,conda_pber_Breakout_4.sh
514085,small,RUNNING,er,Asterix,,conda_er_Asterix.sh
514084,small,RUNNING,er,Alien,,conda_er_Alien.sh
514083,small,RUNNING,er,Amidar,8,conda_er_Amidar_8.sh
514082,small,RUNNING,er,Alien,8,conda_er_Alien_8.sh
515657,small,RUNNING,ber,SpaceInvaders,8,conda_ber_SpaceInvaders_8.sh
515656,small,RUNNING,er,SpaceInvaders,,conda_er_SpaceInvaders.sh
515655,small,RUNNING,ber,Qbert,8,conda_ber_Qbert_8.sh
515654,small,RUNNING,ber,Qbert,4,conda_ber_Qbert_4.sh
514884,small,PENDING,er,Carnival,,conda_er_Carnival.sh
514883,small,PENDING,er,Boxing,,conda_er_Boxing.sh
514882,small,PENDING,er,Bowling,,conda_er_Bowling.sh
514881,small,PENDING,er,Berzerk,,conda_er_Berzerk.sh
514880,small,PENDING,er,BattleZone,,conda_er_BattleZone.sh
514879,small,PENDING,er,BankHeist,,conda_er_BankHeist.sh
514878,small,PENDING,er,Atlantis,,conda_er_Atlantis.sh
514877,small,PENDING,er,Asteroids,,conda_er_Asteroids.sh
514876,small,PENDING,ber,Carnival,8,conda_ber_Carnival_8.sh
514875,small,PENDING,ber,Boxing,8,conda_ber_Boxing_8.sh
514485,small,RUNNING,pber,Assault,8,conda_pber_Assault_8.sh
514484,small,RUNNING,per,Alien,,conda_per_Alien.sh
514874,small,RUNNING,ber,Bowling,8,conda_ber_Bowling_8.sh
514869,small,RUNNING,ber,Asteroids,8,conda_ber_Asteroids_8.sh
514870,small,RUNNING,ber,Atlantis,8,conda_ber_Atlantis_8.sh
514871,small,RUNNING,ber,BankHeist,8,conda_ber_BankHeist_8.sh
514872,small,RUNNING,ber,BattleZone,8,conda_ber_BattleZone_8.sh
514873,small,RUNNING,ber,Berzerk,8,conda_ber_Berzerk_8.sh
514031,small,RUNNING,dpber,BeamRider,32,conda_dpber_BeamRider_32.sh
514030,small,RUNNING,dpber,Qbert,32,conda_dpber_Qbert_32.sh
514029,small,RUNNING,dpber,Breakout,16,conda_dpber_Breakout_16.sh
514028,small,RUNNING,dpber,Qbert,16,conda_dpber_Qbert_16.sh
514027,small,RUNNING,dpber,BeamRider,16,conda_dpber_BeamRider_16.sh
514026,small,RUNNING,dpber,Breakout,32,conda_dpber_Breakout_32.sh
514025,small,RUNNING,dpber,SpaceInvaders,16,conda_dpber_SpaceInvaders_16.sh
514024,small,RUNNING,dpber,SpaceInvaders,32,conda_dpber_SpaceInvaders_32.sh
514407,small,RUNNING,per,Asterix,,conda_per_Asterix.sh
514395,small,RUNNING,ber,Breakout,4,conda_ber_Breakout_4.sh
514396,small,RUNNING,er,Breakout,,conda_er_Breakout.sh
514400,small,RUNNING,pber,Alien,8,conda_pber_Alien_8.sh
514403,small,RUNNING,pber,Asterix,8,conda_pber_Asterix_8.sh
514404,small,RUNNING,per,Alien,,conda_per_Alien.sh
514405,small,RUNNING,per,Amidar,,conda_per_Amidar.sh
514406,small,RUNNING,per,Assault,,conda_per_Assault.sh
